ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
222196_at	0.815956113101706	3.97017663191493e-05	5.47571499995128	-3.91755571884304	2.66499558512796	LOC389906	zinc finger protein 839 pseudogene
210128_s_at	0.815956113101706	7.32357504018046e-05	5.17954540099888	-3.94931220272644	1.5825328408791	LTB4R	leukotriene B4 receptor
208265_at	0.823541721347444	0.000110874889558961	4.98161563611111	-3.97197421195904	1.31151474378221	C2orf83	chromosome 2 open reading frame 83
215842_s_at	0.999711887467114	0.000363749772092827	4.42433959592809	-4.04233796699288	1.68248342035016	ATP11A	ATPase phospholipid transporting 11A
210940_s_at	0.999711887467114	0.000436216600538528	4.34014088442651	-4.05383791642821	1.47163944426378	GRM1	glutamate metabotropic receptor 1
207479_at	0.999711887467114	0.000612017243911333	4.18373071522962	-4.07581502842056	1.60041590843798		
214674_at	0.999711887467114	0.00093716749021759	3.98767119098438	-4.10448882840479	0.841817680642893	USP19	ubiquitin specific peptidase 19
213985_s_at	0.999711887467114	0.00107647036946135	3.92403506372284	-4.11406246539353	1.80135410968771	TMEM259	transmembrane protein 259
213441_x_at	0.999711887467114	0.00126517246909994	-3.8499155574112	-4.12537599035007	-0.917381843603331	SPDEF	SAM pointed domain containing ETS transcription factor
216499_at	0.999711887467114	0.00130665170767138	3.83511693668921	-4.12765563955978	0.581715733386181	LOC102723620	uncharacterized LOC102723620
217203_at	0.999711887467114	0.00134707591128428	3.82114105135762	-4.1298148689058	1.60145869971512		
217158_at	0.999711887467114	0.00134829644316799	3.82072564231766	-4.12987914201201	1.31556108579397	PTGER4P2-CDK2AP2P2	PTGER4P2-CDK2AP2P2 readthrough, transcribed pseudogene
210007_s_at	0.999711887467114	0.00137594994328823	-3.81141338525246	-4.13132137549871	-1.14128285592149	GPD2	glycerol-3-phosphate dehydrogenase 2
210548_at	0.999711887467114	0.00154360570673669	3.75868152741779	-4.13953920320305	1.41552290027193	CCL23	C-C motif chemokine ligand 23
211584_s_at	0.999711887467114	0.00156976219175599	3.7509755451066	-4.14074733870822	1.36653672261167	NPAT	nuclear protein, coactivator of histone transcription
214791_at	0.999711887467114	0.00167629442576725	3.72086289615715	-4.14548589695815	0.957452273681581	SP140L	SP140 nuclear body protein like
