ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
216333_x_at	0.274704393095572	1.66503443428694e-05	5.81840103490484	2.30726753122126	1.52806174981871	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
221035_s_at	0.274704393095572	2.46559613243793e-05	5.62942283083376	2.02602509497882	1.40451954411536	TEX14	testis expressed 14, intercellular bridge forming factor
221201_s_at	0.281895338430809	5.9821444208607e-05	5.21009476361272	1.37974605538487	2.20665137824026	ZNF155	zinc finger protein 155
221071_at	0.281895338430809	7.70233815864535e-05	5.09219134378533	1.19273633521022	1.45951624172466		
214940_s_at	0.281895338430809	7.994984038966e-05	5.0748526003915	1.16504710876812	1.94410633737065	SMG6	SMG6, nonsense mediated mRNA decay factor
212122_at	0.281895338430809	9.13219142509171e-05	5.01313090520916	1.06609675182442	0.956344068210016	RHOQ	ras homolog family member Q
215635_at	0.281895338430809	9.26292153076043e-05	5.00654463911048	1.05550280600841	2.07540357912112		
215842_s_at	0.281895338430809	0.000118322969375745	4.89340845636679	0.872490331845722	1.85064655816128	ATP11A	ATPase phospholipid transporting 11A
220615_s_at	0.281895338430809	0.0001217582451748	-4.88021871937504	0.851029022554216	-1.56177102122081	FAR2	fatty acyl-CoA reductase 2
219919_s_at	0.281895338430809	0.000134404156026768	4.83473496307138	0.776825236748268	1.92983084675185	SSH3	slingshot protein phosphatase 3
204801_s_at	0.281895338430809	0.00015055429009765	4.78260810774564	0.691415322043668	1.78205704295572	DHRS12	dehydrogenase/reductase 12
216916_s_at	0.281895338430809	0.00017215204484061	4.72116383053219	0.590245311472757	1.01138231246064	DLGAP2	DLG associated protein 2
219550_at	0.281895338430809	0.000177344015548732	4.70756404321935	0.567782072736047	1.261335698829	ROBO3	roundabout guidance receptor 3
207341_at	0.281895338430809	0.000189894000739165	-4.67629499658892	0.516038363406901	-1.76194479422599	PRTN3	proteinase 3
212593_s_at	0.281895338430809	0.000207093150231599	4.63669482319057	0.450320086175967	0.974931208175313	MIR4680///PDCD4	microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)
206356_s_at	0.281895338430809	0.000215975899577631	-4.61753256741442	0.418445139882082	-1.60557012886045	GNAL	G protein subunit alpha L
216914_at	0.281895338430809	0.000227496766785996	-4.59383823844385	0.378965465293034	-1.35230396770602	CDC25C	cell division cycle 25C
218551_at	0.281895338430809	0.000245435203719024	4.5592681093773	0.321235599381074	0.856652744462724	MIIP	migration and invasion inhibitory protein
221730_at	0.281895338430809	0.000251563497014423	-4.54804302930745	0.302458031839499	-2.67687936773322	COL5A2	collagen type V alpha 2 chain
200793_s_at	0.281895338430809	0.000253013811812421	-4.5454271192815	0.298079818835241	-0.758328031776417	ACO2	aconitase 2
204712_at	0.28461188895852	0.000273046893844109	-4.51077300376346	0.239999947155165	-1.66065830750451	WIF1	WNT inhibitory factor 1
220045_at	0.28461188895852	0.000283514175181245	-4.49367838290095	0.211295615451341	-1.01083240756435	NEUROD6	neuronal differentiation 6
213087_s_at	0.28461188895852	0.000309940964922743	-4.45321516493355	0.143213026433433	-1.2288153771959	EEF1D	eukaryotic translation elongation factor 1 delta
221729_at	0.28461188895852	0.000315099254379333	-4.44572616531284	0.130591090529345	-2.06843883591891	COL5A2	collagen type V alpha 2 chain
215908_at	0.28461188895852	0.000319315048420904	4.43969715126154	0.120425086364481	1.43279082949689		
209849_s_at	0.315408945732512	0.000368021926537957	-4.3753592277001	0.011682705681336	-0.732646415885299	RAD51C	RAD51 paralog C
212445_s_at	0.319653214212053	0.000387319336881274	-4.35222395163446	-0.0275319491914168	-0.668484876762233	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase
206278_at	0.327087291479284	0.000411005886165235	4.32537001041116	-0.073121644767558	1.89704777767605	PTAFR	platelet activating factor receptor
204104_at	0.336115825875631	0.000437434768675372	4.29719419373934	-0.121036476182574	0.715350885283875	SNAPC2	small nuclear RNA activating complex polypeptide 2
218027_at	0.353134231168175	0.000496652372816393	-4.23984614377652	-0.218807548809417	-0.871049511811345	MRPL15	mitochondrial ribosomal protein L15
