ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1552998_at	0.0220361072946531	4.03038084950218e-07	7.97590717635527	0.728867809273186	3.40177899155597	DEFB125	defensin beta 125
228210_at	0.0820163098760516	3.00013936446462e-06	-6.8409854289766	0.176403867943233	-2.59761237975418	NXPH3	neurexophilin 3
205067_at	0.127224406433825	6.98076304163651e-06	-6.39079875696074	-0.0844158557198744	-3.44185347754521	IL1B	interleukin 1 beta
1566844_at	0.561980499220131	4.11142569159675e-05	-5.48919355617868	-0.689593373875433	-2.13411280320606	PER4	period circadian clock 3 pseudogene
206642_at	0.783257718762691	0.000119497646696556	4.97019625427217	-1.09208497122868	2.37056617567908	DSG1	desmoglein 1
231751_at	0.783257718762691	0.000142367140939601	4.88638320890414	-1.16090753540018	2.99134665063758	ABCG8	ATP binding cassette subfamily G member 8
231284_at	0.783257718762691	0.000149207457630623	4.8639805207079	-1.17948319115067	2.58425447756133	LOC100506406	uncharacterized LOC100506406
224044_at	0.783257718762691	0.000149713441951153	-4.86236532821342	-1.18082538871251	-3.46167247612419	RHOT1	ras homolog family member T1
224343_x_at	0.783257718762691	0.000163106796622149	4.82152727417431	-1.21489177642948	2.97476998927584	YME1L1	YME1 like 1 ATPase
230458_at	0.783257718762691	0.000208222167079075	-4.70555554579986	-1.31299900129661	-2.70456111666031	SLC45A1	solute carrier family 45 member 1
205220_at	0.783257718762691	0.000256308015098078	4.60734260882335	-1.39765108420489	3.01624556329671	HCAR3	hydroxycarboxylic acid receptor 3
236201_at	0.783257718762691	0.000262512897963698	4.59606126549942	-1.40746607380082	2.93854618338836	SPTLC3	serine palmitoyltransferase long chain base subunit 3
235690_at	0.783257718762691	0.000269672953440051	4.58337614060761	-1.41852474095753	1.97366843415068	ZNF594	zinc finger protein 594
207034_s_at	0.783257718762691	0.000279683334332348	-4.56620484082826	-1.4335320091773	-2.31119908166377	GLI2	GLI family zinc finger 2
217011_at	0.783257718762691	0.000283642111582441	4.55958626100887	-1.43932801294702	2.17958508495428	GBX1	gastrulation brain homeobox 1
236640_at	0.783257718762691	0.000293990361123502	-4.5427199555692	-1.45412709081909	-1.66351657185076	LOC100507165	uncharacterized LOC100507165
240312_at	0.783257718762691	0.000297788273677769	-4.53668104498099	-1.45943593853007	-3.32298784650476	LOC389895	chromosome 16 open reading frame 72-like
222790_s_at	0.783257718762691	0.000347718730470766	-4.46385950348097	-1.5238709344567	-3.01224241233384	RSBN1	round spermatid basic protein 1
203490_at	0.783257718762691	0.0003510454966012	-4.4593925564979	-1.52784839370194	-1.68322396647338	ELF4	E74 like ETS transcription factor 4
238885_at	0.783257718762691	0.00038956769028535	-4.41059213908704	-1.57148763361845	-1.8454059741622	KIAA1549	KIAA1549
244385_at	0.783257718762691	0.000415852649696158	4.38003121830111	-1.59898928074582	2.39191306068962	KDM4C	lysine demethylase 4C
1555198_x_at	0.783257718762691	0.000420591164296244	4.37473114829165	-1.60377225638573	2.36709405656336	C21orf58	chromosome 21 open reading frame 58
1559210_at	0.783257718762691	0.000424430591078914	4.37048098250826	-1.60761062695772	3.19853511489688		
242220_at	0.783257718762691	0.000427844948293972	-4.36673401682289	-1.610996666138	-2.34349838028791	SPTBN1	spectrin beta, non-erythrocytic 1
1553909_x_at	0.783257718762691	0.000431150067696114	-4.36313572829188	-1.61425021246295	-2.28225152404186	SLF2	SMC5-SMC6 complex localization factor 2
243521_at	0.783257718762691	0.000452381312613813	-4.34066820901703	-1.63460636039696	-1.36348790037831	ZXDA	zinc finger, X-linked, duplicated A
1555041_a_at	0.783257718762691	0.000477566935362104	4.31536378869954	-1.65761745626101	2.85434560310176	NAGA	alpha-N-acetylgalactosaminidase
228133_s_at	0.783257718762691	0.00048021785920339	-4.31277948941537	-1.65997256702599	-2.57937325975828	MYH11	myosin heavy chain 11
211612_s_at	0.783257718762691	0.00049350613665546	4.30003938791546	-1.6715963764001	1.39320918288124	IL13RA1	interleukin 13 receptor subunit alpha 1
1556914_at	0.783257718762691	0.000516163405981394	4.27909827986057	-1.69075145742334	2.1982408485145	LOC100652911	uncharacterized LOC100652911
241772_at	0.783257718762691	0.000521965040167273	-4.27388587114969	-1.69552871560099	-1.64632204123998		
207126_x_at	0.783257718762691	0.000564520282695408	-4.23735731923284	-1.72911230470799	-2.31248508584903	UGT1A1///UGT1A4///UGT1A9///UGT1A6///UGT1A8///UGT1A10	UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10
1569644_at	0.783257718762691	0.000568073487778703	4.23443455315595	-1.73180730811738	1.98787205011149		
202009_at	0.783257718762691	0.000609768658662021	-4.20145679560303	-1.76229544301724	-1.58634574365205	TWF2	twinfilin actin binding protein 2
238206_at	0.783257718762691	0.000617221765142829	-4.19580318167417	-1.76753697964057	-2.54994136316062	RXFP1	relaxin/insulin like family peptide receptor 1
216967_at	0.783257718762691	0.000640904427176994	-4.17828631010103	-1.78380430875662	-1.25418934385159	GAP43	growth associated protein 43
241542_at	0.783257718762691	0.000652760420386609	-4.16976142507121	-1.79173591621959	-2.35302688690161		
202018_s_at	0.783257718762691	0.000653954725870728	4.16891137270533	-1.79252734120088	2.4086069123912	LTF	lactotransferrin
1557242_at	0.783257718762691	0.000658476983196347	-4.16570679920511	-1.79551176223188	-2.45229941470065		
1557789_at	0.783257718762691	0.000662102036593429	-4.16315403187731	-1.79789013261216	-2.44152446735612		
231737_at	0.783257718762691	0.000673126883030613	-4.15547627711455	-1.80504857963586	-2.02501308599065	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4
244283_x_at	0.783257718762691	0.000678000281365356	4.15212284979041	-1.80817763861074	2.37643094379354		
202970_at	0.783257718762691	0.000714969325286162	-4.12745051336053	-1.83124482840126	-1.95193031582507	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2
205355_at	0.783257718762691	0.000715041770944282	-4.12740344124154	-1.83128891456248	-2.24848363321721	ACADSB	acyl-CoA dehydrogenase, short/branched chain
240064_at	0.783257718762691	0.000733587197506281	-4.11550918776744	-1.84243796504205	-2.03227335920616		
239776_at	0.783257718762691	0.000745418750616466	-4.10807858756415	-1.84941239277623	-2.16511366889972	TMEM232	transmembrane protein 232
230312_at	0.783257718762691	0.000777929254232139	-4.08825836688968	-1.8680509010654	-2.69361817852853		
1558587_at	0.783257718762691	0.000786858019401749	-4.08296116600327	-1.87304087672736	-2.45293382205575	LOC100996385	uncharacterized LOC100996385
240443_at	0.783257718762691	0.000796960807979911	-4.07704012216252	-1.87862279026571	-2.04267829891115		
1564198_a_at	0.783257718762691	0.000797886423569871	4.07650143047093	-1.87913085182782	2.62064156698133	C10orf90	chromosome 10 open reading frame 90
203031_s_at	0.783257718762691	0.00082261611392143	-4.0623379917858	-1.89250229999769	-1.83983782335307	UROS	uroporphyrinogen III synthase
211531_x_at	0.783257718762691	0.000827650419350452	4.05950737249952	-1.89517771221705	2.03650489352073	PRB1	proline rich protein BstNI subfamily 1
210821_x_at	0.783257718762691	0.000863450571034779	4.03986548274067	-1.91377067964008	2.29082175421609	CENPA	centromere protein A
215120_s_at	0.783257718762691	0.000905644668456094	4.01774359836894	-1.9347695755127	2.14369247341272	SAMD4A	sterile alpha motif domain containing 4A
1553811_at	0.783257718762691	0.000916208826340279	4.01236756172029	-1.9398819782458	2.58830699544952	FAM222A-AS1	FAM222A antisense RNA 1
223153_x_at	0.783257718762691	0.00095677151346689	3.99229023323493	-1.95900656158592	1.44916218013927	TMUB1	transmembrane and ubiquitin like domain containing 1
207667_s_at	0.783257718762691	0.000966321374465929	3.98768810324363	-1.96339734156775	2.28820812933127	LOC100996792///MAP2K3	dual specificity mitogen-activated protein kinase kinase 3///mitogen-activated protein kinase kinase 3
237619_at	0.783257718762691	0.000969047830788631	-3.98638261341841	-1.96464335349815	-2.74709399952823	FAM217A	family with sequence similarity 217 member A
235957_at	0.783257718762691	0.000994450681343051	-3.97439396131984	-1.97609561097516	-2.25047820786726	GRIP1	glutamate receptor interacting protein 1
215196_at	0.783257718762691	0.0010265275830331	3.95968861139378	-1.99016705611522	2.71050585233488	GUSBP11	glucuronidase, beta pseudogene 11
1560262_at	0.783257718762691	0.00104962050979584	3.9493854772838	-2.00004173292581	2.05374416756943		
1556872_s_at	0.783257718762691	0.00107251657483911	3.93939296005686	-2.00963097713407	2.13792209902194	IQSEC3	IQ motif and Sec7 domain 3
241687_at	0.783257718762691	0.00108473677153294	-3.93414719785748	-2.01466984685088	-2.26641804722719	WDR12	WD repeat domain 12
240564_x_at	0.783257718762691	0.00108726932302416	3.93306748920762	-2.01570738191631	2.85376399606905		
231593_at	0.783257718762691	0.0010891534790022	3.93226585249621	-2.01647779700736	2.03232580404071		
